,X_sentences,Y,Y_decision,Y_confidence
70,You are delusional because no one can be that stupid.,1,4.557731138641322,4.557731138641322
73,"Trump is a vacuous idiot.
And a traitor.",1,4.323128984620027,4.323128984620027
4,"That's it, boast about your stupidity.",1,4.22615106573973,4.22615106573973
257,"This is absurd and beyond insane. His parents and supporters encouraged him and Islam brainwashed him to be a killer.  They must pay!  The Cdn taxpayers have nothing to do with his problems, so why are they always paying for the ""stupid white people"" lack of common sense.",1,4.122850425382597,4.122850425382597
174,Stupid is as stupid does.,1,3.9725937544441496,3.9725937544441496
203,What is racist about calling someone what they are? Black people love to play the victim. It's pathetic.,1,3.8611981149127317,3.8611981149127317
2179,"Take your hate somewhere else, seriously.",1,3.8611939785977016,3.8611939785977016
1536,The preceding paragraph belongs in the National Enquirer along with the stories of Elvis Presley being alive and well and living in Buffalo.,0,-3.8467432882037276,3.8467432882037276
3468,Thanks for confirming my thesis!,0,-3.8103906123926903,3.8103906123926903
3487,"The ""potential"" younger ticket buyers aren't especially interested in the Bach Fest, whether played by smaller ensembles on period instruments or not. Is it just possible that they grew up in school systems that had cut, either entirely or to the bone, music and other arts programs, so weren't exposed to this music in any form?
Also, if the Bach Fest isn't packing in the crowds, wouldn't it be prudent to acknowledge that it's biggest years are past, and scale it back to a more sustainable model? Oh, but there's that UO prestige thing to consider...",0,-3.7143380957279124,3.7143380957279124
106,"Yep, it's the same 5  disgusting people making comments. Jesus, you RG trolls are disgusting.",1,3.6943747820086115,3.6943747820086115
1077,"And the Fathers of the Council of Trent remind us:

""And whereas such is the nature of man, that, without external helps, he cannot easily be raised to the meditation of divine things; therefore has holy Mother Church instituted certain rites, to wit that certain things be pronounced in the mass in a low, and others in a louder, tone. She has likewise employed ceremonies, such as mystic benedictions, lights, incense, vestments, and many other things of this kind, derived from an apostolical discipline and tradition, whereby both the majesty of so great a sacrifice might be recommended, and the minds of the faithful be excited, by those visible signs of religion and piety, to the contemplation of those most sublime things which are hidden in this sacrifice.""

Now, if TWO Church Councils take pains to remind us that the sights, sounds, and smells matter in teaching us the Catholic Faith at mass, we ought to pay attention.",0,-3.6729044354744023,3.6729044354744023
1046,"Inna lillahi wa inna ilayhi raji'uun--To God we belong, and to Him we return.",0,-3.6687522623026436,3.6687522623026436
50,"Trump is a racist and he's sure of it.
He's a white supremacist and an admitted eugenicist.
There' no doubt he knows he's a racist, he learned it at his KKK daddy's knee.
He's disgusting and anyone who supports him is disgusting.",1,3.665076689590798,3.665076689590798
78,Throwing up stupid straw men is the idiotic part of this. Take it back to the Sun. You aren't making any sense.,1,3.6471998737808367,3.6471998737808367
2627,"Dude!  Ssssh!  You tryin' to upset Trumpy the Clown's banana-boat, or what?  He needs immigrants to whip-up his lynch-mob supporters!

Eh--he's still got Muslims to scapegoat.  B-b-but hey!  That's me!

Hmm...reminds me of a joke I told a Mexican coworker shortly after 911: ""Now they'll ignore you at the checkpoints and roust me instead.""",1,3.6202482285061723,3.6202482285061723
2526,"I don't remember having vog ""back in the day"".  Unless my ""back in the day"" was waaaay before yours.",0,-3.558157886915559,3.558157886915559
1562,"Find the best medium to spread this message.  Show good parenting strategies on television programs that the targeted audiences watch.  Write dialog of popular characters on those programs talking to their toddlers to build vocabulary and reading to them, showing how special that time is for the kids.",0,-3.55488015435936,3.55488015435936
1386,"I suspect the impulse to diverge from Rome and follow what a group sees as the ""right path"" runs just as strong on either end of the spectrum.  To be ""successful"" requires money, which requires a laity.  

This is one of those areas where I think the loss of trust in church leadership has made the church not only more vulnerable, but would seem to demand more transparency and dialog within the church.  I suspect this won't be the only ""ad limina"" visit in the next few years where this topic arises.",0,-3.5393401806595075,3.5393401806595075
609,"This article is so short, we're only getting a snapshot of his life.  Not sure if we can fairly judge how much social interaction he had to trade off?  I didn't go downtown very much during school either and just hung around my department's study hall which was party central when it wasn't exam time and I made some pretty good friends during my summer jobs.",0,-3.522733614724273,3.522733614724273
131,"I hate Muslim terrorists and the psychotic Muslims in ISIS.
Is that allowed in your politically correct version of reality?",1,3.496095732491489,3.496095732491489
1020,"""we keep telling ourselves that we're achieving the mission Jesus gave us to do!""

WE will never achieve the mission that Jesus gave us.  HE will achieve the mission.

The church we attend will have its Nth baptism of the year today, rain or shine.  We are on a trajectory to baptize at least 15% x present membership, as new members this year.

Mathematically, early growth ratios are difficult and ultimately impossible to sustain on a long-term basis.  Every ""market"" eventually reaches saturation.  If the Apostolic church had maintained its initial growth ratio for even a single decade, the entire world would have been baptized.

I do not fault the internal church PR mills for trying to foster a ""can do"" attitude among the members.  That is their job, though some may do it better than others.  We can celebrate whatever and wherever we see signs of God moving among us.

I will leave the definition of what constitutes ""success"" in the capable hands of Jesus Christ.",0,-3.4953349309388537,3.4953349309388537
173,Niggers are useless worldwide.  Low IQ.  Failed.  See Africa and everywhere else the live!,1,3.479156080508475,3.479156080508475
2580,"We are practiced in a 'religious' faith that is received from top-down -- not so much a faith that is conscience-based, compelled by truth-sense, authentically people-owned and welling from the ground-up.
What should happen is for conscience to well-up from the people who are practiced in faith/hope/ love: faith that is grounded in understanding the authentic connectedness of all life; hope that is justified in authentically informed consciousness of life's universal relatedness; and love that is solidly grounded in the sense of mutual and personal obligation to one another and all other;
except for these, people-based faith, hope and love, chaos prevails. It's for institutions, churches included, to recognize and authenticate people in faith/hope/love, communication/consciousness/conscience - the trinitarian dynamic of godlikeness. In this endeavor, churches must be of one mind - as to the oneness-thinking of churches, there's a long way to go! what hurts to say, but is true.",0,-3.4630209123150912,3.4630209123150912
